2025-06-06,SS,139132
2025-06-06,S,155633
2025-06-06,A,83900
2025-06-06,B,69900
2025-06-06,C,69740
2025-06-06,D,56900
2025-06-07,SS,139132
2025-06-07,S,155633
2025-06-07,A,83900
2025-06-07,B,69900
2025-06-07,C,69740
2025-06-07,D,56900
2025-06-08,SS,137196
2025-06-08,S,155633
2025-06-08,A,77599
2025-06-08,B,69900
2025-06-08,C,69740
2025-06-08,D,56900
2025-06-09,SS,136041
2025-06-09,S,169000
2025-06-09,A,77599
2025-06-09,B,69900
2025-06-09,C,69140
2025-06-09,D,54900
2025-06-10,SS,136041
2025-06-10,S,169000
2025-06-10,A,77599
2025-06-10,B,69900
2025-06-10,C,69140
2025-06-10,D,54900
2025-06-11,SS,135516
2025-06-11,S,169000
2025-06-11,A,76933
2025-06-11,B,69900
2025-06-11,C,69140
2025-06-11,D,54900
2025-06-12,SS,134616
2025-06-12,S,169000
2025-06-12,A,76933
2025-06-12,B,69900
2025-06-12,C,69140
2025-06-12,D,52400
2025-06-13,SS,135223
2025-06-13,S,169000
2025-06-13,A,76933
2025-06-13,B,69900
2025-06-13,C,68140
2025-06-13,D,51700
2025-06-14,SS,135223
2025-06-14,S,169000
2025-06-14,A,76933
2025-06-14,B,69900
2025-06-14,C,66766
2025-06-14,D,51700
2025-06-15,SS,135223
2025-06-15,S,169000
2025-06-15,A,76933
2025-06-15,B,67900
2025-06-15,C,66766
2025-06-15,D,51700
2025-06-16,SS,135223
2025-06-16,S,169000
2025-06-16,A,76449
2025-06-16,B,67900
2025-06-16,C,66766
2025-06-16,D,51200
